test_id,target___id,target__title__language,target__title__value,target__isPrimary,target_super_group,target,|,|___id,|__title__language,|__title__value,|__isPrimary
8f9a4bd57683734c52897423dd741ede,01e1502c5eec9236f4531c634b35031c,English,Bihar STET,TRUE,null,,,,,,
4aad8b59ca5b690bc2eff371fec2f83e,01e1502c5eec9236f4531c634b35031c,English,Bihar STET,TRUE,null,,,,,,
7aac7e033c88241a87eb43cf66fb9704,01e1502c5eec9236f4531c634b35031c,English,Bihar STET,TRUE,null,,,,,,
305071c5117adc971a6f928f36b0268e,01e1502c5eec9236f4531c634b35031c,English,Bihar STET,TRUE,null,,,,,,
354cea9d7b43be07ccdb7920634ad604,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
edd9eaa9ff832169b712f4c3967e156b,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
49b1eda4e080da8247cfb130acd9bebf,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
2164992435d870a8704f4b3f4888e26d,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
ccca1f430ca1fb71c389f3214c76de63,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
932b1625a65e5722076c706c515d7182,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
7e554dd94212318afedbaa0a8ef2a0b3,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
74cc4247a45cda8dcd9341064b444f6c,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
46bb170ffc4085574050db32af1d0652,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
e1f8dd09dbc67f50633f8c05bfecc9f3,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
3f63c90d4f6f5da85a4ccfa296b9e5bd,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
fc3baae6f067e4f5ec7fb3e8ea5acd78,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
711752e8ae4c242a923cccd2e6fd0f0b,065c0dc33eddd1263fc57eefa310365b,English,Bihar Police ASI Steno,TRUE,null,,,,,,
37c061da0c58f8b2ab984a2f9c818bcb,067cb25f7be5f7e0b96504be0e86acb4,English,UPPCL Technician,TRUE,null,,,,,,
aafbe9aa780f5247fa2d858c08801004,067cb25f7be5f7e0b96504be0e86acb4,English,UPPCL Technician,TRUE,null,,,,,,
9faa9942be651c551307b3fdb6006392,067cb25f7be5f7e0b96504be0e86acb4,English,UPPCL Technician,TRUE,null,,,,,,
1d35bbed10e2caf6646d201b891cd02a,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
590bb48d278b71751a5ab0cfa3975851,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
6a6f26ff24d769f31a935a58c46fe400,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
dd424b57e1727714d81f3e5595d4bde0,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
2e972821279f92255388fef0f70eaa67,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
6e8f8e328037b08ba271d6d745d5d734,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
0b36c2b10bdb0758a44f5a8ad107d0c1,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
268cac69588d088127454a63852a2e70,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
f4eae348a66f9a58657ae23ce1f259a8,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
79df5ed3f79dc5659d45f1347e44632b,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
,09fa973b1e992878edc788d44aa93e0f,English,REET,,,,,,,,
,09fa973b1e992878edc788d44aa93e0f,English,REET,,,,,,,,
face66873db613168a0ad7825191aa0a,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
739a8261d3672700894687b3d896df5e,09fa973b1e992878edc788d44aa93e0f,English,REET,TRUE,null,,,,,,
,09fa973b1e992878edc788d44aa93e0f,English,REET,,,,,,,,
,09fa973b1e992878edc788d44aa93e0f,English,REET,,,,,,,,
,09fa973b1e992878edc788d44aa93e0f,English,REET,,,,,,,,
,09fa973b1e992878edc788d44aa93e0f,English,REET,,,,,,,,
f83a53fcd87abfae442df700d916c9b8,0cf5c14b4ec681c2f192c2a44f92a0d6,English,Current Affairs,TRUE,null,,,,,,
804ab02564b94e743a34f50ab5fba861,0cf5c14b4ec681c2f192c2a44f92a0d6,English,Current Affairs,TRUE,null,,,,,,
d5699d75be54e67108af67e2ecd9af51,0cf5c14b4ec681c2f192c2a44f92a0d6,English,Current Affairs,TRUE,null,,,,,,
8d3745da90b43ffc77a535e42ad521af,0cf5c14b4ec681c2f192c2a44f92a0d6,English,Current Affairs,TRUE,null,,,,,,
95288ffaf99676c1c01e95366b34848c,0cf5c14b4ec681c2f192c2a44f92a0d6,English,Current Affairs,TRUE,null,,,,,,
